,description_2
0,Award  winning creative collective with the aim to develop visionary communication projects.
1,"Journalism  x technology,  London  style.  Hashtag :  HH Ldn   Founder :  joannauk  Board :  sarahmarshall  cassiewerber  petermacrobert"
2,"News -driven infographics, interactive data products, and  Best  and  Worst  rankings from  Bloomberg 's visual data team."
3,"Information  graphics and data from  The   Wall   Street   Journal .  Tweets  by  kathryntam,  joegraphics,  ttwyatt and   Lightner Renee"
4,"Interactive  graphics, visualizations and maps from  The   Washington   Post .  Follow  us: https://t.co/e3c Oq 0J Jvb"
5,"data visualization editor   Miami Herald , graphic designer,  univmiami alum, hoosier"
6,Interactive  news developer at the   Miami Herald .  UFJ School  alumnus.
7,"Advanced   Information   Visualizations ,  Agile   Analytics ,  Knowledge   Management / Discovery , CI/CD."
8,"Creator  of  jquery,  Java Script  programmer, author,  Japanese  woodblock nerd (http://t.co/vc69XXB4fq), work at  khanacademy."
9,"Exploring  the new tools & resources for the next generation of journalists  ezraeeman 
TOOLS: http://t.co/NGE6wlaC0D
MAIL: journalismtools.mailbox gmail.com"
10,Driving   Innovation  in NEWS:  structured Journalism    Meta Journalism    Rapid Prototyping   newsHACK   Linked Data    News Storyline   ddj  Powered  by  BBC_ Connected
11,Official   Google  data and visualizations from the  News   Lab    Google  team
12,For  the ones who dream big & think ahead to create the things we cant live without.  Mongo DB for  GIAN Tideas .
13,"Latest  news, updates and tips from the  News   Lab  team   Google"
14,Graphics  editor for the  Wall   Street   Journal .  Travel  and photo enthusiast.
15,"R2D3 is an experiment in expressing statistical thinking with interactive design, from  stephaniejyee and  tonyhschu"
16,Reporting  from the frontiers of health and medicine.  Get  ahead of the day's science news with our  Morning   Rounds  newsletter: https://t.co/J82II Gr Sr M
17,
18,The   Node .js  Java Script   Runtime
19,"I helped start  workantile, made mischief with   Groupon Eng , now doing the startup thing at  popularpays.  emberjs core team.  paul_irish once called me 'a hero'"
20,"The  web is awesome, let's make it even better  I work on  Chrome   Dev Tools  and browser performance  big fan of rye whiskey, data and whimsy"
21,"Daily   Java Script  community news, links and events."
22,"A showcase of awesome  Java Script  that pushes the boundaries of what's possible on the web, by  devongovett."
23,Full  stack  Java Scripter .  Blogger  at  badass_js.  Audio  hacker  audiocogs.  Engineer   storify &  livefyre.
24,I make WSJ econ charts. I'm mostly from  Idaho .
25,
26,we  data
27,Co -founder of   Eager IO (http://t.co/ Is C Ly Zx Dmk ).  Author  of  The   Magic  of CSS http://t.co/ Dg MN2rzmH4
28,Product  and UX design company passionate about improving experiences for everyone.  Get  to know us better at http://t.co/n94 Yho O Bt B.
29,Filament  is an analytics tool for blogs that tells you how to write better content and where to promote it.  Connect  w/  Google   Analytics  for a free 14-day trial!
30,Tensor Flow  is an  Open   Source   Software   Library  for  Machine   Intelligence
31,
32,Best  news about   Dataviz .  Powered  by   Calopea Live  and animated by  ctricot.
33,"Italian  tech journalist at  Panorama  newsmagazine (panorama.it), tech dude and tech fanatic.  Reporting  on what's new, what's next and cool things i'm working on."
34,
35,
36,DG  Data   Capability   ONS.  Previously   Chair   odugUK.  Catalyst  for change.  Purveyor  of evidence based debate & common sense.  Love  tech.  Optimist .  Views  my own :-)
37,"As  the main statistical authority in  Belgium ,  Statistics   Belgium  has an important role to play within the knowledge based society."
38,Lietuvos  statistikos departamentas.  Nesikliauk  gandais - remkis statistika.
39,Statistics   Finland  combines collected data with its own expertise to produce statistics and information services.
40,Work  for the ONS in the  Data   Visualisation   Centre
41," forever Paris  
I am a statistician..probably..
  Eurostat   NTTS2017  SD Gs    Sesonal Adjustment    Forecasting   networkanalysis  outliers  R all opinions are mine"
42,"Data  scientist and official statistician at  Eurostat , the statistical office of the  European   Union ."
43,
44,The  official twitter account of the  Italian   National   Institute  of  Statistics .  Our   Mission : http://t.co/ Ruw Sbq 85E3.  Our   Twitter  policy: http://t.co/7ka Rz 4h1BE
45,"A  Global   Summit   Investigating   Sustainable   Futures   November  11-13, 2015, at the MIT  Media   Lab   dmo15"
46,"creative work environment of moovel dealing with mobility design, data and behavior.  whatsuprapha and  til_haeuser on the tweetdeck."
47,
48,"Oakland /SF  Bay   Area  technology & open source GIS person. VP at  mapzen, previously  codeforamerica &  stamen.  Frequent  attendee at  geobreakfast."
49,"Red   Blob   Games : helping people make games.  Tutorials , articles, libraries.  Previously   Amit 's  Game   Programming   Information .  Solar   Realms   Elite ; helped w/ Rot MG."
50,The   App   Store   Optimization  and  Store   Intelligence  platform for the iOS  App   Store  &  Google   Play   Store .  ASO  apps
51,Charts Bin .com is a web-based data visualization tool that will allow everyone to quickly and easily create rich interactive visualizations with their own data.
52,Lemonaid  was a popular drink and it still is -  Guru
53,Information  designer.  Author  of the  Feltron   Annual   Reports .  Facebook  timeline designer.  Co -creator of  Reporter  and  Daytum  apps.
54,"By    Log Me In  -  Simplify  the creation, deployment, and management of connected products and solutions on the   Io T"
55,"For  support requests, please email us at manyeyes us.ibm.com."
56,Tableau  helps people see and understand data.
57,"perception  Ph .D., interactive data viz, science, research,  New   Orleans  born,  Baltimore ,  New   Haven , crocheting a parachute"
58,CEO/ Founder  of  Juice   Analytics .  Author  of  Data   Fluency :  Empowering   Your   Organization  with  Effective   Data   Communication  http://t.co/ Pgw E Vb 6 Bdq
59,Creator  and user of data-rich visual interfaces; software engineer at  Google ; occasional interactive media artist; frequent nerd.
60,"Cofounder  of  Juice   Analytics , seeking beauty and standing on the side of love."
61,"http://t.co/kwt Dy Fn 6dC covers current challenges, interviews with leading actors and book reviews related to data mining, analytics and data science."
62,Developer  with special expertise in data visualization and text analysis.  Creator  of http://t.co/P3mF6g7NFF
63,"Designer , author, researcher, and lecturer based in  New   York . RSA  Fellow .  Founder  of http://t.co/Q Xvfe 0rW8x.  New  book: http://t.co/5l Ckzs 8VBW"
64,"Founder   Storm  ID and  Storm   Ideas  
 Like :  Digital  health, data visualisation and wild swimming"
65,A  Global   Community  for  Visual   Thinkers
66,Datavisualization  and  Infographics   Editor  at  zeitonline
67,"Artist , educator, curator working w/ code+data+geometry.  All   Your   Vectors   Are   Belong   To   Us . (NYC/ Oslo ) https://t.co/2BNQZ Jg Zrz"
68,"Batman , in one of many parallel universes."
69,Listening /learning/visualizing business data to solve problems and help customers thrive.
70,"Data   Strategy ,  Audits ,  Visualization ,  Installations , and  Ideas ."
71,"Visual  thinkers, co-creators, culture champions, design consultancy. https://t.co/708U Mpfhlb"
